datatype,flow,timestamp,value,time_offset
bitrate,Gold,1612299244,0,0
bitrate,S2,1612299244,0,0
packetcount,S1,1612299244,0,0
packetcount,S2,1612299244,0,0
bitrate,Bronze,1612299244,0,0
bitrate,S1,1612299244,0,0
packetcount,Gold,1612299244,0,0
packetcount,Bronze,1612299244,0,0
bitrate,S2,1612299245,0,1
bitrate,Gold,1612299245,0,1
bitrate,S1,1612299245,0,1
packetcount,Gold,1612299245,0,1
bitrate,Bronze,1612299245,0,1
packetcount,S1,1612299245,0,1
packetcount,S2,1612299245,0,1
packetcount,Bronze,1612299245,0,1
bitrate,S2,1612299246,0,2
bitrate,Bronze,1612299246,0,2
bitrate,S1,1612299246,0,2
bitrate,Gold,1612299246,0,2
packetcount,S2,1612299246,0,2
packetcount,Gold,1612299246,0,2
packetcount,S1,1612299246,0,2
packetcount,Bronze,1612299246,0,2
packetcount,Gold,1612299247,0,3
packetcount,S1,1612299247,0,3
packetcount,S2,1612299247,0,3
bitrate,Bronze,1612299247,0,3
bitrate,S2,1612299247,0,3
bitrate,S1,1612299247,0,3
bitrate,Gold,1612299247,0,3
packetcount,Bronze,1612299247,0,3
packetcount,Gold,1612299248,0,4
packetcount,S1,1612299248,0,4
bitrate,Bronze,1612299248,0,4
packetcount,S2,1612299248,0,4
bitrate,Gold,1612299248,0,4
bitrate,S1,1612299248,0,4
bitrate,S2,1612299248,0,4
packetcount,Bronze,1612299248,0,4
packetcount,S1,1612299249,0,5
bitrate,S2,1612299249,0,5
bitrate,Bronze,1612299249,0,5
packetcount,S2,1612299249,0,5
packetcount,Gold,1612299249,0,5
bitrate,S1,1612299249,0,5
bitrate,Gold,1612299249,0,5
packetcount,Bronze,1612299249,0,5
packetcount,S1,1612299250,0,6
bitrate,Gold,1612299250,0,6
bitrate,Bronze,1612299250,0,6
packetcount,S2,1612299250,0,6
bitrate,S2,1612299250,0,6
bitrate,S1,1612299250,0,6
packetcount,Gold,1612299250,0,6
packetcount,Bronze,1612299250,0,6
bitrate,Gold,1612299251,0,7
bitrate,S1,1612299251,0,7
packetcount,S1,1612299251,0,7
packetcount,Gold,1612299251,0,7
packetcount,S2,1612299251,0,7
bitrate,S2,1612299251,0,7
bitrate,Bronze,1612299251,0,7
packetcount,Bronze,1612299251,0,7
packetcount,Gold,1612299252,0,8
bitrate,Gold,1612299252,0,8
bitrate,Bronze,1612299252,0,8
bitrate,S1,1612299252,0,8
bitrate,S2,1612299252,0,8
packetcount,S1,1612299252,0,8
packetcount,S2,1612299252,0,8
packetcount,Bronze,1612299252,0,8
bitrate,S2,1612299253,0,9
packetcount,S1,1612299253,0,9
packetcount,Gold,1612299253,0,9
bitrate,Gold,1612299253,0,9
bitrate,Bronze,1612299253,0,9
bitrate,S1,1612299253,0,9
packetcount,S2,1612299253,0,9
packetcount,Bronze,1612299253,0,9
bitrate,S1,1612299254,0,10
bitrate,Bronze,1612299254,0,10
packetcount,Bronze,1612299254,0,10
bitrate,S2,1612299254,0,10
packetcount,Gold,1612299254,0,10
packetcount,S2,1612299254,0,10
packetcount,S1,1612299254,0,10
bitrate,Gold,1612299254,0,10
packetcount,S2,1612299255,0,11
bitrate,Bronze,1612299255,0,11
packetcount,S1,1612299255,0,11
bitrate,S1,1612299255,0,11
packetcount,Bronze,1612299255,0,11
packetcount,Gold,1612299255,0,11
bitrate,S2,1612299255,0,11
bitrate,Gold,1612299255,0,11
bitrate,Gold,1612299256,0,12
packetcount,S1,1612299256,0,12
bitrate,S2,1612299256,0,12
packetcount,S2,1612299256,0,12
bitrate,Bronze,1612299256,0,12
packetcount,Gold,1612299256,0,12
packetcount,Bronze,1612299256,0,12
bitrate,S1,1612299256,0,12
packetcount,S1,1612299257,0,13
bitrate,Gold,1612299257,0,13
packetcount,Bronze,1612299257,0,13
bitrate,S1,1612299257,0,13
bitrate,Bronze,1612299257,0,13
packetcount,S2,1612299257,0,13
packetcount,Gold,1612299257,0,13
bitrate,S2,1612299257,0,13
bitrate,Gold,1612299258,0,14
packetcount,Bronze,1612299258,0,14
packetcount,S1,1612299258,0,14
packetcount,Gold,1612299258,0,14
bitrate,S1,1612299258,0,14
