datatype,flow,timestamp,value
bitrate,Gold,1612299244,0
bitrate,S2,1612299244,0
packetcount,S1,1612299244,0
packetcount,S2,1612299244,0
bitrate,Bronze,1612299244,0
bitrate,S1,1612299244,0
packetcount,Gold,1612299244,0
packetcount,Bronze,1612299244,0
bitrate,S2,1612299245,0
bitrate,Gold,1612299245,0
bitrate,S1,1612299245,0
packetcount,Gold,1612299245,0
bitrate,Bronze,1612299245,0
packetcount,S1,1612299245,0
packetcount,S2,1612299245,0
packetcount,Bronze,1612299245,0
bitrate,S2,1612299246,0
bitrate,Bronze,1612299246,0
bitrate,S1,1612299246,0
bitrate,Gold,1612299246,0
packetcount,S2,1612299246,0
packetcount,Gold,1612299246,0
packetcount,S1,1612299246,0
packetcount,Bronze,1612299246,0
packetcount,Gold,1612299247,0
packetcount,S1,1612299247,0
packetcount,S2,1612299247,0
bitrate,Bronze,1612299247,0
bitrate,S2,1612299247,0
bitrate,S1,1612299247,0
bitrate,Gold,1612299247,0
packetcount,Bronze,1612299247,0
packetcount,Gold,1612299248,0
packetcount,S1,1612299248,0
bitrate,Bronze,1612299248,0
packetcount,S2,1612299248,0
bitrate,Gold,1612299248,0
bitrate,S1,1612299248,0
bitrate,S2,1612299248,0
packetcount,Bronze,1612299248,0
packetcount,S1,1612299249,0
bitrate,S2,1612299249,0
bitrate,Bronze,1612299249,0
packetcount,S2,1612299249,0
packetcount,Gold,1612299249,0
bitrate,S1,1612299249,0
bitrate,Gold,1612299249,0
packetcount,Bronze,1612299249,0
packetcount,S1,1612299250,0
bitrate,Gold,1612299250,0
bitrate,Bronze,1612299250,0
packetcount,S2,1612299250,0
bitrate,S2,1612299250,0
bitrate,S1,1612299250,0
packetcount,Gold,1612299250,0
packetcount,Bronze,1612299250,0
bitrate,Gold,1612299251,0
bitrate,S1,1612299251,0
packetcount,S1,1612299251,0
packetcount,Gold,1612299251,0
packetcount,S2,1612299251,0
bitrate,S2,1612299251,0
bitrate,Bronze,1612299251,0
packetcount,Bronze,1612299251,0
packetcount,Gold,1612299252,0
bitrate,Gold,1612299252,0
bitrate,Bronze,1612299252,0
bitrate,S1,1612299252,0
bitrate,S2,1612299252,0
packetcount,S1,1612299252,0
packetcount,S2,1612299252,0
packetcount,Bronze,1612299252,0
bitrate,S2,1612299253,0
packetcount,S1,1612299253,0
packetcount,Gold,1612299253,0
bitrate,Gold,1612299253,0
bitrate,Bronze,1612299253,0
bitrate,S1,1612299253,0
packetcount,S2,1612299253,0
packetcount,Bronze,1612299253,0
bitrate,S1,1612299254,0
bitrate,Bronze,1612299254,0
packetcount,Bronze,1612299254,0
bitrate,S2,1612299254,0
packetcount,Gold,1612299254,0
packetcount,S2,1612299254,0
packetcount,S1,1612299254,0
bitrate,Gold,1612299254,0
packetcount,S2,1612299255,0
bitrate,Bronze,1612299255,0
packetcount,S1,1612299255,0
bitrate,S1,1612299255,0
packetcount,Bronze,1612299255,0
packetcount,Gold,1612299255,0
bitrate,S2,1612299255,0
bitrate,Gold,1612299255,0
bitrate,Gold,1612299256,0
packetcount,S1,1612299256,0
bitrate,S2,1612299256,0
packetcount,S2,1612299256,0
bitrate,Bronze,1612299256,0
packetcount,Gold,1612299256,0
packetcount,Bronze,1612299256,0
bitrate,S1,1612299256,0
packetcount,S1,1612299257,0
bitrate,Gold,1612299257,0
packetcount,Bronze,1612299257,0
bitrate,S1,1612299257,0
bitrate,Bronze,1612299257,0
packetcount,S2,1612299257,0
packetcount,Gold,1612299257,0
bitrate,S2,1612299257,0
bitrate,Gold,1612299258,0
packetcount,Bronze,1612299258,0
packetcount,S1,1612299258,0
packetcount,Gold,1612299258,0
bitrate,S1,1612299258,0
packetcount,S2,1612299258,0
bitrate,S2,1612299258,0
bitrate,Bronze,1612299258,0
